Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
29093,28255,2016-02-01 00:00:00.000000 UTC,14800,2.30769,3.99522
29093,28255,2016-02-01 00:00:00.000000 UTC,14900,2.39771,2.52384
28255,29093,2016-02-01 00:00:00.000000 UTC,8500,2.56965,2.76406
28255,16111,2016-02-01 00:00:00.000000 UTC,36500,2.63275,7.32158
29093,28255,2016-02-01 00:00:00.000000 UTC,11900,2.76856,3.12338
29093,28255,2016-02-01 00:00:00.000000 UTC,20700,3.3478,6.07044
29093,28255,2016-02-01 00:00:00.000000 UTC,23800,3.68518,3.54189
39261,28255,2016-02-01 00:00:00.000000 UTC,44700,3.77034,5.67538
29093,28255,2016-02-01 00:00:00.000000 UTC,41700,3.88443,3.9706
16111,28255,2016-02-01 00:00:00.000000 UTC,8900,4.00919,4.32919
29093,28255,2016-02-01 00:00:00.000000 UTC,47700,4.13911,3.84987
28255,29093,2016-02-01 00:00:00.000000 UTC,45200,4.4068,4.82289
39261,28255,2016-02-01 00:00:00.000000 UTC,56700,4.53617,4.30705
39261,28255,2016-02-01 00:00:00.000000 UTC,98500,5.22352,4.88794
28255,39261,2016-02-01 00:00:00.000000 UTC,99600,5.25598,5.31519
28255,39261,2016-02-01 00:00:00.000000 UTC,81500,5.27908,5.33713
39261,28255,2016-02-01 00:00:00.000000 UTC,92500,5.38598,5.10887
39261,28255,2016-02-01 00:00:00.000000 UTC,68600,5.50809,5.20414
16111,28255,2016-02-01 00:00:00.000000 UTC,5900,5.59696,6.44949
29093,28255,2016-02-01 00:00:00.000000 UTC,89400,6.26599,5.60098
16111,28255,2016-02-01 00:00:00.000000 UTC,98400,6.35134,5.62612
28255,39261,2016-02-01 00:00:00.000000 UTC,6100,7.05571,8.91832
39261,28255,2016-02-01 00:00:00.000000 UTC,77600,7.23081,9.17047
39261,28255,2016-02-01 00:00:00.000000 UTC,86500,7.40553,5.50173
29093,28255,2016-02-01 00:00:00.000000 UTC,89300,7.72049,7.58489
28255,16111,2016-02-01 00:00:00.000000 UTC,47700,10.3982,8.81119
28255,16111,2016-02-01 00:00:00.000000 UTC,53300,11.1638,9.68911
16111,39261,2016-02-01 00:00:00.000000 UTC,66300,13.8965,12.6082
39261,28255,2016-02-01 00:00:00.000000 UTC,44100,16.0078,24.1842
28255,39261,2016-02-01 00:00:00.000000 UTC,9400,16.9557,19.5508
28255,39261,2016-02-01 00:00:00.000000 UTC,2600,18.9344,23.0088
16111,39261,2016-02-01 00:00:00.000000 UTC,72300,19.2159,19.0921
39261,28255,2016-02-01 00:00:00.000000 UTC,11800,19.7151,16.3517
16111,28255,2016-02-01 00:00:00.000000 UTC,19800,19.7733,25.0562
28255,29093,2016-02-01 00:00:00.000000 UTC,28100,20.0526,22.7818
28255,29093,2016-02-01 00:00:00.000000 UTC,22800,20.1462,15.9369
29093,39261,2016-02-01 00:00:00.000000 UTC,26500,20.2471,23.217
16111,39261,2016-02-01 00:00:00.000000 UTC,28800,20.4093,26.9957
29093,28255,2016-02-01 00:00:00.000000 UTC,28300,20.5513,26.8755
28255,39261,2016-02-01 00:00:00.000000 UTC,32600,20.565,24.5459
16111,28255,2016-02-01 00:00:00.000000 UTC,27500,20.7083,25.805
16111,29093,2016-02-01 00:00:00.000000 UTC,29900,20.7271,27.2198
28255,39261,2016-02-01 00:00:00.000000 UTC,38100,20.7648,26.8861
29093,39261,2016-02-01 00:00:00.000000 UTC,81900,20.8222,26.1066
29093,39261,2016-02-01 00:00:00.000000 UTC,32300,20.889,24.7998
39261,28255,2016-02-01 00:00:00.000000 UTC,21600,20.9099,25.0383
28255,39261,2016-02-01 00:00:00.000000 UTC,27800,20.9468,23.4313
29093,39261,2016-02-01 00:00:00.000000 UTC,27800,21.002,25.0862
28255,16111,2016-02-01 00:00:00.000000 UTC,25400,21.0521,20.5472
16111,39261,2016-02-01 00:00:00.000000 UTC,4800,21.1475,26.7217
29093,39261,2016-02-01 00:00:00.000000 UTC,13600,21.1697,27.1499
16111,28255,2016-02-01 00:00:00.000000 UTC,32600,21.246,13.0116
29093,28255,2016-02-01 00:00:00.000000 UTC,4800,21.3332,25.7206
28255,16111,2016-02-01 00:00:00.000000 UTC,35100,21.3959,28.2937
16111,28255,2016-02-01 00:00:00.000000 UTC,25200,21.4642,27.5703
39261,28255,2016-02-01 00:00:00.000000 UTC,37100,21.7583,27.776
16111,39261,2016-02-01 00:00:00.000000 UTC,41100,21.8566,26.5473
28255,39261,2016-02-01 00:00:00.000000 UTC,50800,21.8673,24.9279
39261,29093,2016-02-01 00:00:00.000000 UTC,26700,22.0897,27.1064
39261,16111,2016-02-01 00:00:00.000000 UTC,37800,22.1255,28.2202
39261,16111,2016-02-01 00:00:00.000000 UTC,29300,22.1784,27.3925
28255,29093,2016-02-01 00:00:00.000000 UTC,38100,22.216,28.5531
28255,39261,2016-02-01 00:00:00.000000 UTC,40700,22.2344,27.4006
29093,28255,2016-02-01 00:00:00.000000 UTC,37100,22.2538,28.4209
28255,39261,2016-02-01 00:00:00.000000 UTC,20800,22.2564,22.2238
16111,39261,2016-02-01 00:00:00.000000 UTC,47100,22.2829,26.8582
28255,16111,2016-02-01 00:00:00.000000 UTC,43500,22.3271,28.1265
39261,29093,2016-02-01 00:00:00.000000 UTC,49600,22.3351,28.9231
39261,29093,2016-02-01 00:00:00.000000 UTC,43800,22.3695,28.3009
28255,39261,2016-02-01 00:00:00.000000 UTC,49800,22.3796,28.3039
28255,39261,2016-02-01 00:00:00.000000 UTC,15700,22.3874,22.3271
28255,16111,2016-02-01 00:00:00.000000 UTC,37700,22.3879,27.2262
39261,16111,2016-02-01 00:00:00.000000 UTC,20000,22.4642,30.1483
29093,39261,2016-02-01 00:00:00.000000 UTC,15400,22.5251,22.5407
39261,29093,2016-02-01 00:00:00.000000 UTC,55300,22.5252,29.2285
39261,28255,2016-02-01 00:00:00.000000 UTC,52500,22.5824,29.4394
16111,39261,2016-02-01 00:00:00.000000 UTC,53100,22.6581,27.134
28255,16111,2016-02-01 00:00:00.000000 UTC,46200,22.6735,28.8295
16111,28255,2016-02-01 00:00:00.000000 UTC,46200,22.6992,29.1534
28255,39261,2016-02-01 00:00:00.000000 UTC,74100,22.7047,28.2772
28255,29093,2016-02-01 00:00:00.000000 UTC,60800,22.7337,28.5865
28255,29093,2016-02-01 00:00:00.000000 UTC,72100,22.7917,28.6694
39261,29093,2016-02-01 00:00:00.000000 UTC,5000,22.7949,30.786
16111,28255,2016-02-01 00:00:00.000000 UTC,45100,22.8278,25.5143
16111,28255,2016-02-01 00:00:00.000000 UTC,46100,22.8638,28.8959
28255,39261,2016-02-01 00:00:00.000000 UTC,16300,22.9218,25.9024
16111,39261,2016-02-01 00:00:00.000000 UTC,18500,22.9396,22.9447
16111,39261,2016-02-01 00:00:00.000000 UTC,75300,22.9914,18.1805
39261,28255,2016-02-01 00:00:00.000000 UTC,73200,23.0215,27.5721
16111,28255,2016-02-01 00:00:00.000000 UTC,43000,23.047,28.17
28255,29093,2016-02-01 00:00:00.000000 UTC,83400,23.0744,28.7152
39261,16111,2016-02-01 00:00:00.000000 UTC,63100,23.1245,29.0758
39261,28255,2016-02-01 00:00:00.000000 UTC,10500,23.1426,28.6814
16111,29093,2016-02-01 00:00:00.000000 UTC,86600,23.1508,27.1815
28255,16111,2016-02-01 00:00:00.000000 UTC,15200,23.242,26.1539
16111,29093,2016-02-01 00:00:00.000000 UTC,48600,23.2667,26.2974
29093,39261,2016-02-01 00:00:00.000000 UTC,10800,23.2939,29.3581
16111,29093,2016-02-01 00:00:00.000000 UTC,43700,23.3136,28.7028
28255,16111,2016-02-01 00:00:00.000000 UTC,91100,23.3528,29.0968
29093,39261,2016-02-01 00:00:00.000000 UTC,9500,23.476,23.6275
29093,28255,2016-02-01 00:00:00.000000 UTC,35100,23.522,23.4712
16111,28255,2016-02-01 00:00:00.000000 UTC,10500,23.5591,29.3433
29093,39261,2016-02-01 00:00:00.000000 UTC,37500,23.5673,28.0936
39261,16111,2016-02-01 00:00:00.000000 UTC,96900,23.5745,30.1394
29093,16111,2016-02-01 00:00:00.000000 UTC,80200,23.5768,27.3725
39261,16111,2016-02-01 00:00:00.000000 UTC,77700,23.5782,26.5056
16111,29093,2016-02-01 00:00:00.000000 UTC,62000,23.6121,29.6781
16111,39261,2016-02-01 00:00:00.000000 UTC,79700,23.6624,28.7292
29093,28255,2016-02-01 00:00:00.000000 UTC,42900,23.6665,28.1523
28255,39261,2016-02-01 00:00:00.000000 UTC,38900,23.6692,23.679
28255,39261,2016-02-01 00:00:00.000000 UTC,49600,23.6999,28.8096
16111,39261,2016-02-01 00:00:00.000000 UTC,67900,23.7224,29.2768
39261,16111,2016-02-01 00:00:00.000000 UTC,74100,23.7236,28.7006
39261,16111,2016-02-01 00:00:00.000000 UTC,51700,23.7247,28.2024
28255,16111,2016-02-01 00:00:00.000000 UTC,99600,23.74,29.5434
29093,16111,2016-02-01 00:00:00.000000 UTC,8900,23.8241,23.8323
16111,39261,2016-02-01 00:00:00.000000 UTC,7500,23.8573,28.1856
16111,39261,2016-02-01 00:00:00.000000 UTC,31400,23.8749,27.5036
16111,39261,2016-02-01 00:00:00.000000 UTC,80000,23.9296,29.5262
39261,28255,2016-02-01 00:00:00.000000 UTC,97700,23.9705,25.7053
16111,29093,2016-02-01 00:00:00.000000 UTC,80900,23.9915,27.3536
28255,39261,2016-02-01 00:00:00.000000 UTC,85900,24.0425,29.1382
16111,29093,2016-02-01 00:00:00.000000 UTC,83300,24.0474,29.8939
28255,29093,2016-02-01 00:00:00.000000 UTC,66200,24.0821,29.3323
39261,28255,2016-02-01 00:00:00.000000 UTC,7700,24.1686,26.142
16111,28255,2016-02-01 00:00:00.000000 UTC,87000,24.3105,27.0641
29093,16111,2016-02-01 00:00:00.000000 UTC,71300,24.4003,29.3044
28255,29093,2016-02-01 00:00:00.000000 UTC,94400,24.4571,29.5859
16111,39261,2016-02-01 00:00:00.000000 UTC,85900,24.4776,29.2534
28255,16111,2016-02-01 00:00:00.000000 UTC,90900,24.4788,29.6626
39261,29093,2016-02-01 00:00:00.000000 UTC,46400,24.5728,28.937
29093,28255,2016-02-01 00:00:00.000000 UTC,78200,24.6218,27.4212
39261,28255,2016-02-01 00:00:00.000000 UTC,25900,24.641,24.6542
16111,39261,2016-02-01 00:00:00.000000 UTC,6600,24.6502,24.724
16111,29093,2016-02-01 00:00:00.000000 UTC,66100,24.6713,28.8003
39261,28255,2016-02-01 00:00:00.000000 UTC,72700,24.7276,28.9686
16111,28255,2016-02-01 00:00:00.000000 UTC,99000,24.7305,27.4552
39261,29093,2016-02-01 00:00:00.000000 UTC,77000,24.7379,27.0461
16111,28255,2016-02-01 00:00:00.000000 UTC,54800,24.777,28.7996
28255,29093,2016-02-01 00:00:00.000000 UTC,49200,24.8281,29.264
16111,29093,2016-02-01 00:00:00.000000 UTC,37900,24.8466,27.9974
29093,28255,2016-02-01 00:00:00.000000 UTC,72700,24.9016,28.7371
16111,28255,2016-02-01 00:00:00.000000 UTC,57700,24.9107,28.2488
16111,39261,2016-02-01 00:00:00.000000 UTC,47600,24.9372,24.959
29093,28255,2016-02-01 00:00:00.000000 UTC,30800,25.0766,27.1913
39261,16111,2016-02-01 00:00:00.000000 UTC,54400,25.1269,29.1226
16111,28255,2016-02-01 00:00:00.000000 UTC,37800,25.1293,25.244
39261,28255,2016-02-01 00:00:00.000000 UTC,84800,25.1698,28.6643
39261,29093,2016-02-01 00:00:00.000000 UTC,63300,25.1764,29.2781
16111,28255,2016-02-01 00:00:00.000000 UTC,9600,25.1876,25.5022
39261,29093,2016-02-01 00:00:00.000000 UTC,58800,25.2133,25.2067
39261,16111,2016-02-01 00:00:00.000000 UTC,65600,25.246,29.2903
16111,28255,2016-02-01 00:00:00.000000 UTC,42800,25.2631,28.7199
28255,16111,2016-02-01 00:00:00.000000 UTC,68400,25.3024,29.7213
28255,29093,2016-02-01 00:00:00.000000 UTC,79900,25.3271,26.974
16111,28255,2016-02-01 00:00:00.000000 UTC,15800,25.3739,26.6533
16111,28255,2016-02-01 00:00:00.000000 UTC,67800,25.4246,25.4795
28255,16111,2016-02-01 00:00:00.000000 UTC,37300,25.5028,25.6204
16111,39261,2016-02-01 00:00:00.000000 UTC,67300,25.602,27.5431
29093,28255,2016-02-01 00:00:00.000000 UTC,52700,25.6336,25.5795
28255,16111,2016-02-01 00:00:00.000000 UTC,7800,25.7315,25.3709
39261,28255,2016-02-01 00:00:00.000000 UTC,45400,25.8796,25.9
29093,16111,2016-02-01 00:00:00.000000 UTC,76700,25.8838,28.7909
29093,28255,2016-02-01 00:00:00.000000 UTC,57700,25.906,28.9001
16111,39261,2016-02-01 00:00:00.000000 UTC,10400,25.9245,28.0918
28255,39261,2016-02-01 00:00:00.000000 UTC,92500,25.9491,27.6076
16111,28255,2016-02-01 00:00:00.000000 UTC,88800,25.965,31.531
16111,28255,2016-02-01 00:00:00.000000 UTC,39700,26.0738,27.3995
29093,39261,2016-02-01 00:00:00.000000 UTC,32000,26.0863,26.0773
28255,29093,2016-02-01 00:00:00.000000 UTC,1200,26.1185,26.5063
28255,16111,2016-02-01 00:00:00.000000 UTC,52600,26.1786,26.1889
28255,16111,2016-02-01 00:00:00.000000 UTC,37500,26.2244,26.4585
16111,28255,2016-02-01 00:00:00.000000 UTC,51200,26.238,26.2651
29093,28255,2016-02-01 00:00:00.000000 UTC,51700,26.2732,28.8746
28255,39261,2016-02-01 00:00:00.000000 UTC,73600,26.3431,29.5473
29093,16111,2016-02-01 00:00:00.000000 UTC,97300,26.3553,26.3679
29093,16111,2016-02-01 00:00:00.000000 UTC,42700,26.3556,26.4615
28255,39261,2016-02-01 00:00:00.000000 UTC,91700,26.5319,29.7601
16111,39261,2016-02-01 00:00:00.000000 UTC,65400,26.5362,26.6082
16111,39261,2016-02-01 00:00:00.000000 UTC,61000,26.5417,26.5116
16111,29093,2016-02-01 00:00:00.000000 UTC,48700,26.6909,26.6924
39261,16111,2016-02-01 00:00:00.000000 UTC,37500,26.6917,29.027
39261,28255,2016-02-01 00:00:00.000000 UTC,91400,26.6965,26.8086
16111,28255,2016-02-01 00:00:00.000000 UTC,85400,26.7251,26.8496
29093,39261,2016-02-01 00:00:00.000000 UTC,88100,26.777,26.7732
39261,16111,2016-02-01 00:00:00.000000 UTC,56900,26.944,26.9722
39261,16111,2016-02-01 00:00:00.000000 UTC,59900,27.0605,29.4681
29093,39261,2016-02-01 00:00:00.000000 UTC,97700,27.0774,29.4639
39261,29093,2016-02-01 00:00:00.000000 UTC,50000,27.0788,29.8938
39261,16111,2016-02-01 00:00:00.000000 UTC,62500,27.1315,27.1231
29093,28255,2016-02-01 00:00:00.000000 UTC,48500,27.166,27.1886
16111,28255,2016-02-01 00:00:00.000000 UTC,73300,27.17,27.2682
29093,16111,2016-02-01 00:00:00.000000 UTC,51500,27.2568,29.2804
28255,39261,2016-02-01 00:00:00.000000 UTC,62300,27.293,27.2777
39261,29093,2016-02-01 00:00:00.000000 UTC,38300,27.3439,28.5126
28255,29093,2016-02-01 00:00:00.000000 UTC,52000,27.3626,27.3903
29093,28255,2016-02-01 00:00:00.000000 UTC,57600,27.3784,29.1551
39261,16111,2016-02-01 00:00:00.000000 UTC,96000,27.4018,27.4135
28255,29093,2016-02-01 00:00:00.000000 UTC,53100,27.4491,30.4348
16111,39261,2016-02-01 00:00:00.000000 UTC,49300,27.4626,27.4664
28255,39261,2016-02-01 00:00:00.000000 UTC,76700,27.5363,27.5782
16111,39261,2016-02-01 00:00:00.000000 UTC,88600,27.5434,29.6719
29093,16111,2016-02-01 00:00:00.000000 UTC,46400,27.5481,27.5684
29093,28255,2016-02-01 00:00:00.000000 UTC,6800,27.5927,26.5497
28255,29093,2016-02-01 00:00:00.000000 UTC,13000,27.6615,28.1374
39261,29093,2016-02-01 00:00:00.000000 UTC,9800,27.7554,27.6673
16111,39261,2016-02-01 00:00:00.000000 UTC,58400,27.82,29.3275
29093,28255,2016-02-01 00:00:00.000000 UTC,78400,27.8768,28.0518
39261,28255,2016-02-01 00:00:00.000000 UTC,73100,27.8965,27.8746
28255,39261,2016-02-01 00:00:00.000000 UTC,73500,27.9894,29.7667
29093,39261,2016-02-01 00:00:00.000000 UTC,41200,28.0148,29.6635
28255,29093,2016-02-01 00:00:00.000000 UTC,37800,28.0513,29.2941
16111,28255,2016-02-01 00:00:00.000000 UTC,99200,28.0904,28.1007
28255,39261,2016-02-01 00:00:00.000000 UTC,54600,28.1718,30.6481
29093,39261,2016-02-01 00:00:00.000000 UTC,79500,28.2041,29.5254
16111,39261,2016-02-01 00:00:00.000000 UTC,76500,28.2332,29.6109
29093,39261,2016-02-01 00:00:00.000000 UTC,55300,28.2501,29.3038
16111,39261,2016-02-01 00:00:00.000000 UTC,64400,28.2677,29.5115
28255,16111,2016-02-01 00:00:00.000000 UTC,56900,28.2692,30.2412
29093,28255,2016-02-01 00:00:00.000000 UTC,19600,28.343,29.1568
39261,28255,2016-02-01 00:00:00.000000 UTC,46600,28.3847,29.4222
28255,29093,2016-02-01 00:00:00.000000 UTC,43200,28.5757,29.9149
39261,28255,2016-02-01 00:00:00.000000 UTC,42200,28.6009,29.7473
29093,28255,2016-02-01 00:00:00.000000 UTC,9900,28.6072,28.5989
28255,29093,2016-02-01 00:00:00.000000 UTC,21000,28.6557,28.9666
29093,16111,2016-02-01 00:00:00.000000 UTC,15100,28.6735,27.2072
29093,16111,2016-02-01 00:00:00.000000 UTC,57000,28.6752,29.6474
28255,29093,2016-02-01 00:00:00.000000 UTC,19100,28.7322,29.3688
16111,28255,2016-02-01 00:00:00.000000 UTC,72400,28.7429,29.8198
28255,39261,2016-02-01 00:00:00.000000 UTC,66300,28.7877,31.0986
28255,29093,2016-02-01 00:00:00.000000 UTC,82800,28.8002,30.3013
39261,29093,2016-02-01 00:00:00.000000 UTC,33300,28.9194,29.723
29093,16111,2016-02-01 00:00:00.000000 UTC,84900,28.9464,30.2295
16111,39261,2016-02-01 00:00:00.000000 UTC,64200,28.9951,29.9488
16111,39261,2016-02-01 00:00:00.000000 UTC,68200,29.0176,29.9907
28255,29093,2016-02-01 00:00:00.000000 UTC,47700,29.0577,30.6728
39261,28255,2016-02-01 00:00:00.000000 UTC,1500,29.0911,29.1444
