Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
29093,28255,2016-02-01 00:00:00.000000 UTC,8860,2.0277,3.47849
29093,28255,2016-02-01 00:00:00.000000 UTC,14800,2.30769,3.99522
29093,28255,2016-02-01 00:00:00.000000 UTC,29770,2.49389,3.4821
29093,28255,2016-02-01 00:00:00.000000 UTC,32770,2.50992,2.93749
28255,29093,2016-02-01 00:00:00.000000 UTC,8500,2.56965,2.76406
28255,16111,2016-02-01 00:00:00.000000 UTC,25270,2.67656,5.06638
39261,28255,2016-02-01 00:00:00.000000 UTC,26860,3.02376,3.46137
16111,28255,2016-02-01 00:00:00.000000 UTC,35680,3.06998,5.12717
29093,28255,2016-02-01 00:00:00.000000 UTC,41710,3.11842,3.84547
28255,39261,2016-02-01 00:00:00.000000 UTC,45250,3.20136,3.43859
39261,28255,2016-02-01 00:00:00.000000 UTC,14920,3.27756,3.69333
28255,29093,2016-02-01 00:00:00.000000 UTC,11380,3.2781,4.2397
29093,16111,2016-02-01 00:00:00.000000 UTC,47590,3.45244,3.32914
29093,28255,2016-02-01 00:00:00.000000 UTC,23800,3.68518,3.54189
28255,29093,2016-02-01 00:00:00.000000 UTC,33940,3.80757,4.75424
28255,29093,2016-02-01 00:00:00.000000 UTC,50860,3.83118,5.84609
29093,28255,2016-02-01 00:00:00.000000 UTC,47710,4.02018,3.759
29093,16111,2016-02-01 00:00:00.000000 UTC,64390,4.10865,3.89702
28255,39261,2016-02-01 00:00:00.000000 UTC,51280,4.21437,3.50831
39261,28255,2016-02-01 00:00:00.000000 UTC,62680,4.46823,4.30645
39261,28255,2016-02-01 00:00:00.000000 UTC,62620,4.51502,5.3946
29093,16111,2016-02-01 00:00:00.000000 UTC,81190,4.57326,4.29328
39261,28255,2016-02-01 00:00:00.000000 UTC,80530,4.65784,5.47787
28255,39261,2016-02-01 00:00:00.000000 UTC,93550,4.67845,4.80036
39261,28255,2016-02-01 00:00:00.000000 UTC,68650,4.71529,4.43298
29093,16111,2016-02-01 00:00:00.000000 UTC,92380,4.81551,4.58042
29093,16111,2016-02-01 00:00:00.000000 UTC,97990,4.9249,4.58388
39261,28255,2016-02-01 00:00:00.000000 UTC,62650,4.97527,4.75088
39261,28255,2016-02-01 00:00:00.000000 UTC,122320,5.01046,5.62181
28255,39261,2016-02-01 00:00:00.000000 UTC,87520,5.02344,4.87621
39261,28255,2016-02-01 00:00:00.000000 UTC,68590,5.0391,5.42463
28255,39261,2016-02-01 00:00:00.000000 UTC,45280,5.08701,4.25091
39261,28255,2016-02-01 00:00:00.000000 UTC,86560,5.09313,4.7341
29093,16111,2016-02-01 00:00:00.000000 UTC,103570,5.09507,4.82222
39261,28255,2016-02-01 00:00:00.000000 UTC,68620,5.10071,4.83917
29093,16111,2016-02-01 00:00:00.000000 UTC,109180,5.10172,4.80613
39261,28255,2016-02-01 00:00:00.000000 UTC,92530,5.13142,4.81473
39261,28255,2016-02-01 00:00:00.000000 UTC,98500,5.22352,4.88794
29093,39261,2016-02-01 00:00:00.000000 UTC,39130,5.234,8.08106
39261,28255,2016-02-01 00:00:00.000000 UTC,80560,5.23449,4.98809
39261,28255,2016-02-01 00:00:00.000000 UTC,44710,5.24896,5.29184
29093,16111,2016-02-01 00:00:00.000000 UTC,120370,5.26015,4.99882
39261,28255,2016-02-01 00:00:00.000000 UTC,74590,5.27584,4.91776
29093,16111,2016-02-01 00:00:00.000000 UTC,125980,5.3381,4.98699
39261,28255,2016-02-01 00:00:00.000000 UTC,86530,5.37221,5.05143
39261,28255,2016-02-01 00:00:00.000000 UTC,92500,5.38598,5.10887
39261,28255,2016-02-01 00:00:00.000000 UTC,56650,5.40897,5.36201
28255,39261,2016-02-01 00:00:00.000000 UTC,105640,5.44028,5.5609
29093,16111,2016-02-01 00:00:00.000000 UTC,131560,5.46482,5.1685
39261,28255,2016-02-01 00:00:00.000000 UTC,110410,5.47387,5.25398
29093,16111,2016-02-01 00:00:00.000000 UTC,137170,5.49441,5.14539
39261,28255,2016-02-01 00:00:00.000000 UTC,104440,5.497,5.20946
39261,28255,2016-02-01 00:00:00.000000 UTC,116380,5.52538,5.29537
29093,16111,2016-02-01 00:00:00.000000 UTC,142780,5.52784,5.13701
16111,28255,2016-02-01 00:00:00.000000 UTC,5890,5.57597,6.55786
39261,28255,2016-02-01 00:00:00.000000 UTC,122350,5.59276,5.33406
29093,16111,2016-02-01 00:00:00.000000 UTC,142750,5.63545,5.31982
16111,28255,2016-02-01 00:00:00.000000 UTC,104320,5.63829,6.32254
29093,16111,2016-02-01 00:00:00.000000 UTC,153970,5.6466,5.27046
29093,16111,2016-02-01 00:00:00.000000 UTC,148360,5.64826,5.2874
39261,28255,2016-02-01 00:00:00.000000 UTC,128320,5.66653,5.37041
39261,28255,2016-02-01 00:00:00.000000 UTC,170050,5.68201,5.99059
29093,16111,2016-02-01 00:00:00.000000 UTC,137140,5.68259,5.37339
29093,16111,2016-02-01 00:00:00.000000 UTC,125950,5.69254,5.21212
