Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
16615,6218,2016-02-01 00:00:00.000000 UTC,6000,16.889,17.0184
20443,22830,2016-02-01 00:00:00.000000 UTC,6000,7.3436,9.1899
21610,20443,2016-02-01 00:00:00.000000 UTC,6000,30.3013,30.2387
21610,22830,2016-02-01 00:00:00.000000 UTC,6000,13.5401,14.1083
22079,23561,2016-02-01 00:00:00.000000 UTC,6000,18.4653,18.5473
22079,6155,2016-02-01 00:00:00.000000 UTC,6000,7.15465,8.17046
23561,20443,2016-02-01 00:00:00.000000 UTC,6000,7.24652,6.86495
23561,3598,2016-02-01 00:00:00.000000 UTC,6000,25.8524,25.8238
23608,22830,2016-02-01 00:00:00.000000 UTC,6000,23.2378,23.1608
25261,20443,2016-02-01 00:00:00.000000 UTC,6000,18.7592,17.6169
25979,20443,2016-02-01 00:00:00.000000 UTC,6000,19.8261,19.46
27387,20443,2016-02-01 00:00:00.000000 UTC,6000,13.2657,12.1303
27387,22830,2016-02-01 00:00:00.000000 UTC,6000,12.6201,11.2999
28499,6155,2016-02-01 00:00:00.000000 UTC,6000,27.256,27.547
694,1616,2016-02-01 00:00:00.000000 UTC,6000,12.8632,13.0296
694,2144,2016-02-01 00:00:00.000000 UTC,6000,7.00399,5.94234
2328,6155,2016-02-01 00:00:00.000000 UTC,6000,20.3935,20.2418
3598,20443,2016-02-01 00:00:00.000000 UTC,6000,16.1227,15.2254
3598,25261,2016-02-01 00:00:00.000000 UTC,6000,11.636,11.2145
3598,28499,2016-02-01 00:00:00.000000 UTC,6000,19.878,19.2098
3598,15596,2016-02-01 00:00:00.000000 UTC,6000,15.3742,15.3637
6155,20443,2016-02-01 00:00:00.000000 UTC,6000,24.9811,23.1578
6155,21610,2016-02-01 00:00:00.000000 UTC,6000,26.9474,26.8005
6155,2328,2016-02-01 00:00:00.000000 UTC,6000,15.5474,15.471
6155,6218,2016-02-01 00:00:00.000000 UTC,6000,16.1812,16.6663
15596,3598,2016-02-01 00:00:00.000000 UTC,6000,26.0303,26.0344
Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
20443,16615,2016-02-01 00:00:00.000000 UTC,60000,16.2882,14.8221
20443,23561,2016-02-01 00:00:00.000000 UTC,60000,7.47404,7.51624
22830,23608,2016-02-01 00:00:00.000000 UTC,60000,13.4586,19.5955
23561,20443,2016-02-01 00:00:00.000000 UTC,60000,9.34858,8.18025
23608,2144,2016-02-01 00:00:00.000000 UTC,60000,19.7052,17.5587
25261,694,2016-02-01 00:00:00.000000 UTC,60000,16.8557,18.7889
28499,23561,2016-02-01 00:00:00.000000 UTC,60000,11.3553,14.0664
694,23608,2016-02-01 00:00:00.000000 UTC,60000,14.2829,14.1217
1616,694,2016-02-01 00:00:00.000000 UTC,60000,17.2087,17.2391
2144,22079,2016-02-01 00:00:00.000000 UTC,60000,17.2705,23.601
3598,16615,2016-02-01 00:00:00.000000 UTC,60000,22.3094,20.3167
3598,2144,2016-02-01 00:00:00.000000 UTC,60000,19.9766,17.7615
Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
16615,20443,2016-02-01 00:00:00.000000 UTC,2000,28.3942,28.3772
16615,20443,2016-02-01 00:00:00.000000 UTC,4500,28.8723,28.4486
16615,20443,2016-02-01 00:00:00.000000 UTC,4800,29.0615,28.9398
16615,20443,2016-02-01 00:00:00.000000 UTC,5000,29.3279,29.2023
16615,20443,2016-02-01 00:00:00.000000 UTC,5900,30.0266,29.8195
16615,20443,2016-02-01 00:00:00.000000 UTC,11200,27.1458,27.4487
16615,20443,2016-02-01 00:00:00.000000 UTC,17800,28.2002,28.4299
16615,20443,2016-02-01 00:00:00.000000 UTC,42200,26.7383,28.9392
16615,20443,2016-02-01 00:00:00.000000 UTC,54300,26.6275,29.4201
16615,20443,2016-02-01 00:00:00.000000 UTC,93100,23.2723,26.2614
16615,20443,2016-02-01 00:00:00.000000 UTC,96600,21.4734,30.3682
16615,21610,2016-02-01 00:00:00.000000 UTC,3400,29.7658,29.6786
16615,21610,2016-02-01 00:00:00.000000 UTC,9700,29.8107,29.4503
16615,21610,2016-02-01 00:00:00.000000 UTC,29500,24.2708,24.2219
16615,21610,2016-02-01 00:00:00.000000 UTC,33100,29.2478,29.6282
16615,21610,2016-02-01 00:00:00.000000 UTC,48900,22.4189,25.4278
16615,21610,2016-02-01 00:00:00.000000 UTC,74700,27.4566,30.6228
16615,21610,2016-02-01 00:00:00.000000 UTC,85400,27.323,27.792
16615,21610,2016-02-01 00:00:00.000000 UTC,86700,27.4967,30.7852
16615,22079,2016-02-01 00:00:00.000000 UTC,4100,17.538,17.7518
16615,22079,2016-02-01 00:00:00.000000 UTC,4500,19.3378,19.3978
16615,22079,2016-02-01 00:00:00.000000 UTC,5100,25.321,25.308
16615,22079,2016-02-01 00:00:00.000000 UTC,6800,16.0037,15.9622
16615,22079,2016-02-01 00:00:00.000000 UTC,7000,16.3286,16.273
16615,22079,2016-02-01 00:00:00.000000 UTC,9500,15.4304,15.365
16615,22079,2016-02-01 00:00:00.000000 UTC,9700,15.6317,15.5396
16615,22079,2016-02-01 00:00:00.000000 UTC,10500,17.0424,16.8642
16615,22079,2016-02-01 00:00:00.000000 UTC,12800,15.0322,14.9882
16615,22079,2016-02-01 00:00:00.000000 UTC,17000,16.0597,15.8665
16615,22079,2016-02-01 00:00:00.000000 UTC,19300,14.7414,14.7817
16615,22079,2016-02-01 00:00:00.000000 UTC,20400,15.6078,14.9391
16615,22079,2016-02-01 00:00:00.000000 UTC,26200,14.8853,14.7622
16615,22079,2016-02-01 00:00:00.000000 UTC,26800,14.8602,14.6066
16615,22079,2016-02-01 00:00:00.000000 UTC,29800,15.575,14.2683
